Manuf,Vendor Part No,Description,List Price
Palo Alto Networks,PAN-VM-700-PERP-BND2-PREMUSG-1YR-R,"Palo Alto Networks Perpetual Bundle (BND2) for VM-Series that includes Threat Prevention, PANDB URL filtering, Global Protect and
WildFire subscriptions, and US Government Premium Support, 1 year, Renewal",15900.0000
Palo Alto Networks,PAN-VM-700-PERP-BND2-PREMUSG-3YR,"Palo Alto Networks Perpetual Bundle (BND2) for VM-Series that includes VM-700, Threat Prevention, PANDB URL filtering, Global
Protect and WildFire subscriptions, and US Government Premium Support, 3 year",60000.0000
Palo Alto Networks,PAN-VM-700-PERP-BND2-PREMUSG-3YR-R,"Palo Alto Networks Perpetual Bundle (BND2) for VM-Series that includes Threat Prevention, PANDB URL filtering, Global Protect and
WildFire subscriptions, and US Government Premium Support, 3 year, Renewal",38200.0000
Palo Alto Networks,PAN-VM-700-PERP-BND2-PREMUSG-5YR,"Palo Alto Networks Perpetual Bundle (BND2) for VM-Series that includes VM-700, Threat Prevention, PANDB URL filtering, Global
Protect and WildFire subscriptions, and US Government Premium Support, 5 year",85500.0000
Palo Alto Networks,PAN-VM-700-PERP-BND2-PREMUSG-5YR-R,"Palo Alto Networks Perpetual Bundle (BND2) for VM-Series that includes Threat Prevention, PANDB URL filtering, Global Protect and
WildFire subscriptions, and US Government Premium Support, 5 year, Renewal",63600.0000
Palo Alto Networks,PAN-VM-1000-HV-PERP-BND-NSX,"Palo Alto Networks Perpetual Bundle for VMware NSX includes VM-1000-HV, Threat Prevention subscription, and Premium Support",6300.0000
Palo Alto Networks,PAN-VM-1000-HV-PERP-BND-NSX-R,"Palo Alto Networks Perpetual Bundle for VMware NSX includes Threat Prevention subscription, and Premium Support, Renewal",1800.0000
Palo Alto Networks,PAN-VM-1000-HV-PERP-BND-NSX-3YR,"Palo Alto Networks Perpetual Bundle for VMware NSX includes VM-1000-HV, Threat Prevention subscription, and Premium Support, 3
year",8820.0000
Palo Alto Networks,PAN-VM-1000-HV-PERP-BND-NSX-3YR-R,"Palo Alto Networks Perpetual Bundle for VMware NSX includes Threat Prevention subscription, and Premium Support, 3 year,
Renewal",4320.0000
Palo Alto Networks,PAN-VM-1000-HV-PERP-BND-NSX2,"Palo Alto Networks Perpetual Bundle for VMware NSX includes VM-1000-HV, Threat Prevention, PANDB URL filtering and WildFire
subscriptions, and Premium Support",8100.0000
Palo Alto Networks,PAN-VM-1000-HV-PERP-BND-NSX2-R,"Palo Alto Networks Perpetual Bundle for VMware NSX includes Threat Prevention, PANDB URL filtering and WildFire subscriptions,
and Premium Support, Renewal",3600.0000
Palo Alto Networks,PAN-VM-1000-HV-PERP-BND-NSX2-3YR,"Palo Alto Networks Perpetual Bundle for VMware NSX includes VM-1000-HV, Threat Prevention, PANDB URL filtering and WildFire
subscriptions, and Premium Support, 3 year",13140.0000
Palo Alto Networks,PAN-VM-1000-HV-PERP-BND-NSX2-3YR-R,"Palo Alto Networks Perpetual Bundle for VMware NSX includes Threat Prevention, PANDB URL filtering and WildFire subscriptions,
and Premium Support, 3 year, Renewal",8640.0000
Palo Alto Networks,PAN-VM-1000-HV-PERP-USG-BND-NSX,"Palo Alto Networks Perpetual Bundle for VMware NSX includes VM-1000-HV, Threat Prevention subscription, and US Government
Support",6450.0000
Palo Alto Networks,PAN-VM-1000-HV-PERP-USG-BND-NSX-R,"Palo Alto Networks Perpetual Bundle for VMware NSX includes Threat Prevention subscription, and US Government Support, Renewal",1950.0000
Palo Alto Networks,PAN-VM-1000-HV-PERP-USG-BND-NSX-3YR,"Palo Alto Networks Perpetual Bundle for VMware NSX includes VM-1000-HV, Threat Prevention subscription, and US Government
Support, 3 year",9100.0000
Palo Alto Networks,PAN-VM-1000-HV-PERP-USG-BND-NSX-3YR-R,"Palo Alto Networks Perpetual Bundle for VMware NSX includes Threat Prevention subscription, and US Government Support, 3 year,
Renewal",4700.0000
Palo Alto Networks,PAN-VM-1000-HV-PERP-USG-BND-NSX2,"Palo Alto Networks Perpetual Bundle for VMware NSX includes VM-1000-HV, Threat Prevention, PANDB URL filtering and WildFire
subscriptions, and US Government Support",8250.0000
Palo Alto Networks,PAN-VM-1000-HV-PERP-USG-BND-NSX2-R,"Palo Alto Networks Perpetual Bundle for VMware NSX includes Threat Prevention, PANDB URL filtering and WildFire subscriptions,
and US Government Support, Renewal",3750.0000
Palo Alto Networks,PAN-VM-1000-HV-PERP-USG-BND-NSX2-3YR,"Palo Alto Networks Perpetual Bundle for VMware NSX includes VM-1000-HV, Threat Prevention, PANDB URL filtering and WildFire
subscriptions, and US Government Support, 3 year",13450.0000
Palo Alto Networks,PAN-VM-1000-HV-PERP-USG-BND-NSX2-3YR-R,"Palo Alto Networks Perpetual Bundle for VMware NSX includes Threat Prevention, PANDB URL filtering and WildFire subscriptions,
and US Government Support, 3 year, Renewal",9000.0000
Palo Alto Networks,PAN-WF-500,"Palo Alto Networks WF-500, 2TB RAID storage (4 1TB RAID certified drives preinstalled). 4 post rack mount rails included.",125000.0000
Palo Alto Networks,PAN-GP-100-UPG-2K,"GP-100 software license upgrade, 1K to 2K devices",20000.0000
Palo Alto Networks,PAN-GP-100-UPG-5K,"GP-100 software license upgrade, 2K to 5K devices",45000.0000
Palo Alto Networks,PAN-GP-100-UPG-10K,"GP-100 software license upgrade, 5K to 10K devices",80000.0000
Palo Alto Networks,PAN-GP-100-UPG-25K,"GP-100 software license upgrade, 10K to 25K devices",190000.0000
Palo Alto Networks,PAN-GP-100-UPG-50K,"GP-100 software license upgrade, 25K to 50K devices",150000.0000
Palo Alto Networks,PAN-GP-100-UPG-100K,"GP-100 software license upgrade, 50K to 100K devices",250000.0000
Palo Alto Networks,PAN-TRAPS-A-1YR,"Traps Advanced Endpoint Protection for agents, tier A, 1-year, includes Premium Support",40.0000
Palo Alto Networks,PAN-TRAPS-A-1YR-R,"Traps Advanced Endpoint Protection for agents, tier A, 1-year renewal, includes Premium Support",40.0000
Palo Alto Networks,PAN-TRAPS-A-3YR,"Traps Advanced Endpoint Protection for agents, tier A, 3-year prepaid, includes Premium Support",96.0000
Palo Alto Networks,PAN-TRAPS-A-3YR-R,"Traps Advanced Endpoint Protection for agents, tier A, 3-year prepaid renewal, includes Premium Support",96.0000
Palo Alto Networks,PAN-TRAPS-A-5YR,"Traps Advanced Endpoint Protection for agents, tier A, 5-year prepaid, includes Premium Support",160.0000
Palo Alto Networks,PAN-TRAPS-A-5YR-R,"Traps Advanced Endpoint Protection for agents, tier A, 5-year prepaid renewal, includes Premium Support",160.0000
Palo Alto Networks,PAN-TRAPS-A-USG-1YR,"Traps Advanced Endpoint Protection for agents, tier A, 1-year, includes US Government Premium Support",41.0000
Palo Alto Networks,PAN-TRAPS-A-USG-1YR-R,"Traps Advanced Endpoint Protection for agents, tier A, 1-year renewal, includes US Government Premium Support",41.0000
Palo Alto Networks,PAN-TRAPS-A-USG-3YR,"Traps Advanced Endpoint Protection for agents, tier A, 3-year prepaid, includes US Government Premium Support",98.4000
Palo Alto Networks,PAN-TRAPS-A-USG-3YR-R,"Traps Advanced Endpoint Protection for agents, tier A, 3-year prepaid renewal, includes US Government Premium Support",98.4000
Palo Alto Networks,PAN-TRAPS-A-USG-5YR,"Traps Advanced Endpoint Protection for agents, tier A, 5-year prepaid, includes US Government Premium Support",164.0000
Palo Alto Networks,PAN-TRAPS-A-USG-5YR-R,"Traps Advanced Endpoint Protection for agents, tier A, 5-year prepaid renewal, includes US Government Premium Support",164.0000
Palo Alto Networks,PAN-TRAPS-B-1YR,"Traps Advanced Endpoint Protection for agents, tier B, 1-year, includes Premium Support",34.0000
,,,
Palo Alto Networks,PAN-TRAPS-B-1YR-R,"Traps Advanced Endpoint Protection for agents, tier B, 1-year renewal, includes Premium Support",34.0000
Palo Alto Networks,PAN-TRAPS-B-3YR,"Traps Advanced Endpoint Protection for agents, tier B, 3-year prepaid, includes Premium Support",81.5999
Palo Alto Networks,PAN-TRAPS-B-3YR-R,"Traps Advanced Endpoint Protection for agents, tier B, 3-year prepaid renewal, includes Premium Support",81.5999
Palo Alto Networks,PAN-TRAPS-B-5YR,"Traps Advanced Endpoint Protection for agents, tier B, 5-year prepaid, includes Premium Support",136.0000
Palo Alto Networks,PAN-TRAPS-B-5YR-R,"Traps Advanced Endpoint Protection for agents, tier B, 5-year prepaid renewal, includes Premium Support",136.0000
Palo Alto Networks,PAN-TRAPS-B-USG-1YR,"Traps Advanced Endpoint Protection for agents, tier B, 1-year, includes US Government Premium Support",35.0000
Palo Alto Networks,PAN-TRAPS-B-USG-1YR-R,"Traps Advanced Endpoint Protection for agents, tier B, 1-year renewal, includes US Government Premium Support",35.0000
Palo Alto Networks,PAN-TRAPS-B-USG-3YR,"Traps Advanced Endpoint Protection for agents, tier B, 3-year prepaid, includes US Government Premium Support",84.0000
Palo Alto Networks,PAN-TRAPS-B-USG-3YR-R,"Traps Advanced Endpoint Protection for agents, tier B, 3-year prepaid renewal, includes US Government Premium Support",84.0000
Palo Alto Networks,PAN-TRAPS-B-USG-5YR,"Traps Advanced Endpoint Protection for agents, tier B, 5-year prepaid, includes US Government Premium Support",140.0000
Palo Alto Networks,PAN-TRAPS-B-USG-5YR-R,"Traps Advanced Endpoint Protection for agents, tier B, 5-year prepaid renewal, includes US Government Premium Support",140.0000
Palo Alto Networks,PAN-TRAPS-C-1YR,"Traps Advanced Endpoint Protection for agents, tier C, 1-year, includes Premium Support",27.0000
Palo Alto Networks,PAN-TRAPS-C-1YR-R,"Traps Advanced Endpoint Protection for agents, tier C, 1-year renewal, includes Premium Support",27.0000
Palo Alto Networks,PAN-TRAPS-C-3YR,"Traps Advanced Endpoint Protection for agents, tier C, 3-year prepaid, includes Premium Support",64.8000
Palo Alto Networks,PAN-TRAPS-C-3YR-R,"Traps Advanced Endpoint Protection for agents, tier C, 3-year prepaid renewal, includes Premium Support",64.8000
Palo Alto Networks,PAN-TRAPS-C-5YR,"Traps Advanced Endpoint Protection for agents, tier C, 5-year prepaid, includes Premium Support",108.0000
Palo Alto Networks,PAN-TRAPS-C-5YR-R,"Traps Advanced Endpoint Protection for agents, tier C, 5-year prepaid renewal, includes Premium Support",108.0000
Palo Alto Networks,PAN-TRAPS-C-USG-1YR,"Traps Advanced Endpoint Protection for agents, tier C, 1-year, includes US Government Premium Support",28.0000
Palo Alto Networks,PAN-TRAPS-C-USG-1YR-R,"Traps Advanced Endpoint Protection for agents, tier C, 1-year renewal, includes US Government Premium Support",28.0000
Palo Alto Networks,PAN-TRAPS-C-USG-3YR,"Traps Advanced Endpoint Protection for agents, tier C, 3-year prepaid, includes US Government Premium Support",67.2000
Palo Alto Networks,PAN-TRAPS-C-USG-3YR-R,"Traps Advanced Endpoint Protection for agents, tier C, 3-year prepaid renewal, includes US Government Premium Support",67.2000
Palo Alto Networks,PAN-TRAPS-C-USG-5YR,"Traps Advanced Endpoint Protection for agents, tier C, 5-year prepaid, includes US Government Premium Support",112.0000
Palo Alto Networks,PAN-TRAPS-C-USG-5YR-R,"Traps Advanced Endpoint Protection for agents, tier C, 5-year prepaid renewal, includes US Government Premium Support",112.0000
Palo Alto Networks,PAN-TRAPS-D-1YR,"Traps Advanced Endpoint Protection for agents, tier D, 1-year, includes Premium Support",22.0000
Palo Alto Networks,PAN-TRAPS-D-1YR-R,"Traps Advanced Endpoint Protection for agents, tier D, 1-year renewal, includes Premium Support",22.0000
Palo Alto Networks,PAN-TRAPS-D-3YR,"Traps Advanced Endpoint Protection for agents, tier D, 3-year prepaid, includes Premium Support",52.8000
Palo Alto Networks,PAN-TRAPS-D-3YR-R,"Traps Advanced Endpoint Protection for agents, tier D, 3-year prepaid renewal, includes Premium Support",52.8000
Palo Alto Networks,PAN-TRAPS-D-5YR,"Traps Advanced Endpoint Protection for agents, tier D, 5-year prepaid, includes Premium Support",88.0000
Palo Alto Networks,PAN-TRAPS-D-5YR-R,"Traps Advanced Endpoint Protection for agents, tier D, 5-year prepaid renewal, includes Premium Support",88.0000
Palo Alto Networks,PAN-TRAPS-D-USG-1YR,"Traps Advanced Endpoint Protection for agents, tier D, 1-year, includes US Government Premium Support",23.0000
Palo Alto Networks,PAN-TRAPS-D-USG-1YR-R,"Traps Advanced Endpoint Protection for agents, tier D, 1-year renewal, includes US Government Premium Support",23.0000
Palo Alto Networks,PAN-TRAPS-D-USG-3YR,"Traps Advanced Endpoint Protection for agents, tier D, 3-year prepaid, includes US Government Premium Support",55.2000
Palo Alto Networks,PAN-TRAPS-D-USG-3YR-R,"Traps Advanced Endpoint Protection for agents, tier D, 3-year prepaid renewal, includes US Government Premium Support",55.2000
Palo Alto Networks,PAN-TRAPS-D-USG-5YR,"Traps Advanced Endpoint Protection for agents, tier D, 5-year prepaid, includes US Government Premium Support",92.0000
Palo Alto Networks,PAN-TRAPS-D-USG-5YR-R,"Traps Advanced Endpoint Protection for agents, tier D, 5-year prepaid renewal, includes US Government Premium Support",92.0000
Palo Alto Networks,PAN-TRAPS-E-1YR,"Traps Advanced Endpoint Protection for agents, tier E, 1-year, includes Premium Support",19.0000
Palo Alto Networks,PAN-TRAPS-E-1YR-R,"Traps Advanced Endpoint Protection for agents, tier E, 1-year renewal, includes Premium Support",19.0000
Palo Alto Networks,PAN-TRAPS-E-3YR,"Traps Advanced Endpoint Protection for agents, tier E, 3-year prepaid, includes Premium Support",45.6000
Palo Alto Networks,PAN-TRAPS-E-3YR-R,"Traps Advanced Endpoint Protection for agents, tier E, 3-year prepaid renewal, includes Premium Support",45.6000
Palo Alto Networks,PAN-TRAPS-E-5YR,"Traps Advanced Endpoint Protection for agents, tier E, 5-year prepaid, includes Premium Support",76.0000
Palo Alto Networks,PAN-TRAPS-E-5YR-R,"Traps Advanced Endpoint Protection for agents, tier E, 5-year prepaid renewal, includes Premium Support",76.0000
Palo Alto Networks,PAN-TRAPS-E-USG-1YR,"Traps Advanced Endpoint Protection for agents, tier E, 1-year, includes US Government Premium Support",20.0000
Palo Alto Networks,PAN-TRAPS-E-USG-1YR-R,"Traps Advanced Endpoint Protection for agents, tier E, 1-year renewal, includes US Government Premium Support",20.0000
Palo Alto Networks,PAN-TRAPS-E-USG-3YR,"Traps Advanced Endpoint Protection for agents, tier E, 3-year prepaid, includes US Government Premium Support",48.0000
Palo Alto Networks,PAN-TRAPS-E-USG-3YR-R,"Traps Advanced Endpoint Protection for agents, tier E, 3-year prepaid renewal, includes US Government Premium Support",48.0000
Palo Alto Networks,PAN-TRAPS-E-USG-5YR,"Traps Advanced Endpoint Protection for agents, tier E, 5-year prepaid, includes US Government Premium Support",80.0000
Palo Alto Networks,PAN-TRAPS-E-USG-5YR-R,"Traps Advanced Endpoint Protection for agents, tier E, 5-year prepaid renewal, includes US Government Premium Support",80.0000
Palo Alto Networks,PAN-TRAPS-F-1YR,"Traps Advanced Endpoint Protection for agents, tier F, 1-year, includes Premium Support",14.0000
Palo Alto Networks,PAN-TRAPS-F-1YR-R,"Traps Advanced Endpoint Protection for agents, tier F, 1-year renewal, includes Premium Support",14.0000
Palo Alto Networks,PAN-TRAPS-F-3YR,"Traps Advanced Endpoint Protection for agents, tier F, 3-year prepaid, includes Premium Support",33.6000
Palo Alto Networks,PAN-TRAPS-F-3YR-R,"Traps Advanced Endpoint Protection for agents, tier F, 3-year prepaid renewal, includes Premium Support",33.6000
Palo Alto Networks,PAN-TRAPS-F-5YR,"Traps Advanced Endpoint Protection for agents, tier F, 5-year prepaid, includes Premium Support",56.0000
Palo Alto Networks,PAN-TRAPS-F-5YR-R,"Traps Advanced Endpoint Protection for agents, tier F, 5-year prepaid renewal, includes Premium Support",56.0000
Palo Alto Networks,PAN-TRAPS-F-USG-1YR,"Traps Advanced Endpoint Protection for agents, tier F, 1-year, includes US Government Premium Support",15.0000
Palo Alto Networks,PAN-TRAPS-F-USG-1YR-R,"Traps Advanced Endpoint Protection for agents, tier F, 1-year renewal, includes US Government Premium Support",15.0000
Palo Alto Networks,PAN-TRAPS-F-USG-3YR,"Traps Advanced Endpoint Protection for agents, tier F, 3-year prepaid, includes US Government Premium Support",36.0000
Palo Alto Networks,PAN-TRAPS-F-USG-3YR-R,"Traps Advanced Endpoint Protection for agents, tier F, 3-year prepaid renewal, includes US Government Premium Support",36.0000
Palo Alto Networks,PAN-TRAPS-F-USG-5YR,"Traps Advanced Endpoint Protection for agents, tier F, 5-year prepaid, includes US Government Premium Support",60.0000
Palo Alto Networks,PAN-TRAPS-F-USG-5YR-R,"Traps Advanced Endpoint Protection for agents, tier F, 5-year prepaid renewal, includes US Government Premium Support",60.0000
Palo Alto Networks,PAN-GPCS-NET-A-1YR,"GlobalProtect cloud service for remote networks, tier A, 1-year, TP, URL, WF, GP, includes Premium support, per Mbps",140.0000
Palo Alto Networks,PAN-GPCS-NET-A-1YR-R,"GlobalProtect cloud service for remote networks, tier A, 1-year Renewal, TP, URL, WF, GP, includes Premium support, per Mbps",140.0000
Palo Alto Networks,PAN-GPCS-NET-A-3YR,"GlobalProtect cloud service for remote networks, tier A, 3-year, TP, URL, WF, GP, includes Premium support, per Mbps",420.0000
Palo Alto Networks,PAN-GPCS-NET-A-3YR-R,"GlobalProtect cloud service for remote networks, tier A, 3-year Renewal, TP, URL, WF, GP, includes Premium support, per Mbps",420.0000
Palo Alto Networks,PAN-GPCS-NET-A-USG-1YR,"GlobalProtect cloud service for remote networks, tier A, 1-year, TP, URL, WF, GP, includes US Government Premium support, per
Mbps",157.5000
Palo Alto Networks,PAN-GPCS-NET-A-USG-1YR-R,"GlobalProtect cloud service for remote networks, tier A, 1-year Renewal, TP, URL, WF, GP, includes US Government Premium support,
per Mbps",157.5000
Palo Alto Networks,PAN-GPCS-NET-A-USG-3YR,"GlobalProtect cloud service for remote networks, tier A, 3-year, TP, URL, WF, GP, includes US Government Premium support, per
Mbps",472.5000
Palo Alto Networks,PAN-GPCS-NET-A-USG-3YR-R,"GlobalProtect cloud service for remote networks, tier A, 3-year Renewal, TP, URL, WF, GP, includes US Government Premium support,
per Mbps",472.5000
Palo Alto Networks,PAN-GPCS-NET-B-1YR,"GlobalProtect cloud service for remote networks, tier B, 1-year, TP, URL, WF, GP, includes Premium support, per Mbps",120.0000
Palo Alto Networks,PAN-GPCS-NET-B-1YR-R,"GlobalProtect cloud service for remote networks, tier B, 1-year Renewal, TP, URL, WF, GP, includes Premium support, per Mbps",120.0000
Palo Alto Networks,PAN-GPCS-NET-B-3YR,"GlobalProtect cloud service for remote networks, tier B, 3-year, TP, URL, WF, GP, includes Premium support, per Mbps",360.0000
Palo Alto Networks,PAN-GPCS-NET-B-3YR-R,"GlobalProtect cloud service for remote networks, tier B, 3-year Renewal, TP, URL, WF, GP, includes Premium support, per Mbps",360.0000
Palo Alto Networks,PAN-GPCS-NET-B-USG-1YR,"GlobalProtect cloud service for remote networks, tier B, 1-year, TP, URL, WF, GP, includes US Government Premium support, per
Mbps",135.0000
,,,
Palo Alto Networks,PAN-GPCS-NET-B-USG-1YR-R,"GlobalProtect cloud service for remote networks, tier B, 1-year Renewal, TP, URL, WF, GP, includes US Government Premium support,
per Mbps",135.0000
Palo Alto Networks,PAN-GPCS-NET-B-USG-3YR,"GlobalProtect cloud service for remote networks, tier B, 3-year, TP, URL, WF, GP, includes US Government Premium support, per
Mbps",405.0000
Palo Alto Networks,PAN-GPCS-NET-B-USG-3YR-R,"GlobalProtect cloud service for remote networks, tier B, 3-year Renewal, TP, URL, WF, GP, includes US Government Premium support,
per Mbps",405.0000
Palo Alto Networks,PAN-GPCS-NET-C-1YR,"GlobalProtect cloud service for remote networks, tier C, 1-year, TP, URL, WF, GP, includes Premium support, per Mbps",90.0000
Palo Alto Networks,PAN-GPCS-NET-C-1YR-R,"GlobalProtect cloud service for remote networks, tier C, 1-year Renewal, TP, URL, WF, GP, includes Premium support, per Mbps",90.0000
Palo Alto Networks,PAN-GPCS-NET-C-3YR,"GlobalProtect cloud service for remote networks, tier C, 3-year, TP, URL, WF, GP, includes Premium support, per Mbps",270.0000
Palo Alto Networks,PAN-GPCS-NET-C-3YR-R,"GlobalProtect cloud service for remote networks, tier C, 3-year Renewal, TP, URL, WF, GP, includes Premium support, per Mbps",270.0000
Palo Alto Networks,PAN-GPCS-NET-C-USG-1YR,"GlobalProtect cloud service for remote networks, tier C, 1-year, TP, URL, WF, GP, includes US Government Premium support, per
Mbps",101.2500
Palo Alto Networks,PAN-GPCS-NET-C-USG-1YR-R,"GlobalProtect cloud service for remote networks, tier C, 1-year Renewal, TP, URL, WF, GP, includes US Government Premium support,
per Mbps",101.2500
Palo Alto Networks,PAN-GPCS-NET-C-USG-3YR,"GlobalProtect cloud service for remote networks, tier C, 3-year, TP, URL, WF, GP, includes US Government Premium support, per
Mbps",303.7500
Palo Alto Networks,PAN-GPCS-NET-C-USG-3YR-R,"GlobalProtect cloud service for remote networks, tier C, 3-year Renewal, TP, URL, WF, GP, includes US Government Premium support,
per Mbps",303.7500
Palo Alto Networks,PAN-GPCS-NET-D-1YR,"GlobalProtect cloud service for remote networks, tier D, 1-year, TP, URL, WF, GP, includes Premium support, per Mbps",80.0000
Palo Alto Networks,PAN-GPCS-NET-D-1YR-R,"GlobalProtect cloud service for remote networks, tier D, 1-year Renewal, TP, URL, WF, GP, includes Premium support, per Mbps",80.0000
Palo Alto Networks,PAN-GPCS-NET-D-3YR,"GlobalProtect cloud service for remote networks, tier D, 3-year, TP, URL, WF, GP, includes Premium support, per Mbps",240.0000
Palo Alto Networks,PAN-GPCS-NET-D-3YR-R,"GlobalProtect cloud service for remote networks, tier D, 3-year Renewal, TP, URL, WF, GP, includes Premium support, per Mbps",240.0000
Palo Alto Networks,PAN-GPCS-NET-D-USG-1YR,"GlobalProtect cloud service for remote networks, tier D, 1-year, TP, URL, WF, GP, includes US Government Premium support, per
Mbps",90.0000
Palo Alto Networks,PAN-GPCS-NET-D-USG-1YR-R,"GlobalProtect cloud service for remote networks, tier D, 1-year Renewal, TP, URL, WF, GP, includes US Government Premium support,
per Mbps",90.0000
Palo Alto Networks,PAN-GPCS-NET-D-USG-3YR,"GlobalProtect cloud service for remote networks, tier D, 3-year, TP, URL, WF, GP, includes US Government Premium support, per
Mbps",270.0000
Palo Alto Networks,PAN-GPCS-NET-D-USG-3YR-R,"GlobalProtect cloud service for remote networks, tier D, 3-year Renewal, TP, URL, WF, GP, includes US Government Premium support,
per Mbps",270.0000
Palo Alto Networks,PAN-GPCS-USER-A-1YR,"GlobalProtect cloud service for mobile users, tier A, 1-year, TP, URL, WF, GP, includes Premium support, per user",150.0000
Palo Alto Networks,PAN-GPCS-USER-A-1YR-R,"GlobalProtect cloud service for mobile users, tier A, 1-year Renewal, TP, URL, WF, GP, includes Premium support, per user",150.0000
Palo Alto Networks,PAN-GPCS-USER-A-3YR,"GlobalProtect cloud service for mobile users, tier A, 3-year, TP, URL, WF, GP, includes Premium support, per user",450.0000
Palo Alto Networks,PAN-GPCS-USER-A-3YR-R,"GlobalProtect cloud service for mobile users, tier A, 3-year Renewal, TP, URL, WF, GP, includes Premium support, per user",450.0000
Palo Alto Networks,PAN-GPCS-USER-A-USG-1YR,"GlobalProtect cloud service for mobile users, tier A, 1-year, TP, URL, WF, GP, includes US Government Premium support, per user",168.7500
Palo Alto Networks,PAN-GPCS-USER-A-USG-1YR-R,"GlobalProtect cloud service for mobile users, tier A, 1-year Renewal, TP, URL, WF, GP, includes US Government Premium support, per
user",168.7500
Palo Alto Networks,PAN-GPCS-USER-A-USG-3YR,"GlobalProtect cloud service for mobile users, tier A, 3-year, TP, URL, WF, GP, includes US Government Premium support, per user",506.2500
Palo Alto Networks,PAN-GPCS-USER-A-USG-3YR-R,"GlobalProtect cloud service for mobile users, tier A, 3-year Renewal, TP, URL, WF, GP, includes US Government Premium support, per
user",506.2500
Palo Alto Networks,PAN-GPCS-USER-B-1YR,"GlobalProtect cloud service for mobile users, tier B, 1-year, TP, URL, WF, GP, includes Premium support, per user",100.0000
Palo Alto Networks,PAN-GPCS-USER-B-1YR-R,"GlobalProtect cloud service for mobile users, tier B, 1-year Renewal, TP, URL, WF, GP, includes Premium support, per user",100.0000
Palo Alto Networks,PAN-GPCS-USER-B-3YR,"GlobalProtect cloud service for mobile users, tier B, 3-year, TP, URL, WF, GP, includes Premium support, per user",300.0000
Palo Alto Networks,PAN-GPCS-USER-B-3YR-R,"GlobalProtect cloud service for mobile users, tier B, 3-year Renewal, TP, URL, WF, GP, includes Premium support, per user",300.0000
Palo Alto Networks,PAN-GPCS-USER-B-USG-1YR,"GlobalProtect cloud service for mobile users, tier B, 1-year, TP, URL, WF, GP, includes US Government Premium support, per user",112.5000
Palo Alto Networks,PAN-GPCS-USER-B-USG-1YR-R,"GlobalProtect cloud service for mobile users, tier B, 1-year Renewal, TP, URL, WF, GP, includes US Government Premium support, per
user",112.5000
Palo Alto Networks,PAN-GPCS-USER-B-USG-3YR,"GlobalProtect cloud service for mobile users, tier B, 3-year, TP, URL, WF, GP, includes US Government Premium support, per user",337.5000
Palo Alto Networks,PAN-GPCS-USER-B-USG-3YR-R,"GlobalProtect cloud service for mobile users, tier B, 3-year Renewal, TP, URL, WF, GP, includes US Government Premium support, per
user",337.5000
Palo Alto Networks,PAN-GPCS-USER-C-1YR,"GlobalProtect cloud service for mobile users, tier C, 1-year, TP, URL, WF, GP, includes Premium support, per user",88.0000
Palo Alto Networks,PAN-GPCS-USER-C-1YR-R,"GlobalProtect cloud service for mobile users, tier C, 1-year Renewal, TP, URL, WF, GP, includes Premium support, per user",88.0000
Palo Alto Networks,PAN-GPCS-USER-C-3YR,"GlobalProtect cloud service for mobile users, tier C, 3-year, TP, URL, WF, GP, includes Premium support, per user",264.0000
Palo Alto Networks,PAN-GPCS-USER-C-3YR-R,"GlobalProtect cloud service for mobile users, tier C, 3-year Renewal, TP, URL, WF, GP, includes Premium support, per user",264.0000
Palo Alto Networks,PAN-GPCS-USER-C-USG-1YR,"GlobalProtect cloud service for mobile users, tier C, 1-year, TP, URL, WF, GP, includes US Government Premium support, per user",99.0000
Palo Alto Networks,PAN-GPCS-USER-C-USG-1YR-R,"GlobalProtect cloud service for mobile users, tier C, 1-year Renewal, TP, URL, WF, GP, includes US Government Premium support, per
user",99.0000
Palo Alto Networks,PAN-GPCS-USER-C-USG-3YR,"GlobalProtect cloud service for mobile users, tier C, 3-year, TP, URL, WF, GP, includes US Government Premium support, per user",297.0000
Palo Alto Networks,PAN-GPCS-USER-C-USG-3YR-R,"GlobalProtect cloud service for mobile users, tier C, 3-year Renewal, TP, URL, WF, GP, includes US Government Premium support, per
user",297.0000
Palo Alto Networks,PAN-GPCS-USER-D-1YR,"GlobalProtect cloud service for mobile users, tier D, 1-year, TP, URL, WF, GP, includes Premium support, per user",85.0000
Palo Alto Networks,PAN-GPCS-USER-D-1YR-R,"GlobalProtect cloud service for mobile users, tier D, 1-year Renewal, TP, URL, WF, GP, includes Premium support, per user",85.0000
Palo Alto Networks,PAN-GPCS-USER-D-3YR,"GlobalProtect cloud service for mobile users, tier D, 3-year, TP, URL, WF, GP, includes Premium support, per user",255.0000
Palo Alto Networks,PAN-GPCS-USER-D-3YR-R,"GlobalProtect cloud service for mobile users, tier D, 3-year Renewal, TP, URL, WF, GP, includes Premium support, per user",255.0000
Palo Alto Networks,PAN-GPCS-USER-D-USG-1YR,"GlobalProtect cloud service for mobile users, tier D, 1-year, TP, URL, WF, GP, includes US Government Premium support, per user",95.6300
Palo Alto Networks,PAN-GPCS-USER-D-USG-1YR-R,"GlobalProtect cloud service for mobile users, tier D, 1-year Renewal, TP, URL, WF, GP, includes US Government Premium support, per
user",95.6300
