Manuf,Vendor Part No,Description,List Price
Palo Alto Networks,PAN-PRA-UPG-1K,"Panorama upgrade, 100 to 1000 devices",50000.0000
Palo Alto Networks,PAN-M-100,"Palo Alto Networks M-100, 1TB RAID storage (2 1TB RAID certified drives preinstalled). Rack mount rails included.",10000.0000
Palo Alto Networks,PAN-M-100-4TB,"Palo Alto Networks M-100, 4TB RAID storage (8 1TB RAID certified drives preinstalled). Rack mount rails included.",15000.0000
Palo Alto Networks,PAN-M-100-UPG-32GB,32GB Memory Upgrade Kit for M-100 Only. One per system. Replaces the existing memory.,1500.0000
Palo Alto Networks,PAN-M-P-25,"Panorama central management software license, 25 devices or log collector for the M-100",10000.0000
Palo Alto Networks,PAN-M-P-100,"Panorama central management software license, 100 devices for the M-100",25000.0000
Palo Alto Networks,PAN-M-P-1K,"Panorama central management software license, 1000 devices for the M-100",75000.0000
Palo Alto Networks,PAN-M-P-MIG-25,"Panorama license migration from PRA-25 to M-100, 25 devices or log collector",0.0000
Palo Alto Networks,PAN-M-P-MIG-100,"Panorama license migration from PRA-100 to M-100, 100 devices",0.0000
Palo Alto Networks,PAN-M-P-MIG-1K,"Panorama license migration from PRA-1K to M-100, 1K devices",0.0000
Palo Alto Networks,PAN-M-P-UPG-100,"Panorama license upgrade, 25 to 100 devices for the M-100",15000.0000
Palo Alto Networks,PAN-M-P-UPG-1K,"Panorama license upgrade, 100 to 1000 devices for the M-100",50000.0000
Palo Alto Networks,PAN-M-500,Palo Alto Networks M-500 chassis with 4TB storage (4x2TB RAID certified drives) and 4 post rack mount rails,25000.0000
Palo Alto Networks,PAN-M-500-P-25,"Panorama central management software license, 25 devices or log collector for the M-500",10000.0000
Palo Alto Networks,PAN-M-500-P-100,"Panorama central management software license, 100 devices for the M-500",25000.0000
Palo Alto Networks,PAN-M-500-P-1K,"Panorama central management software license, 1000 devices for the M-500",75000.0000
Palo Alto Networks,PAN-M-500-P-MIG-25,"Panorama license migration from PRA-25 to M-500, 25 devices or log collector",0.0000
Palo Alto Networks,PAN-M-500-P-MIG-100,"Panorama license migration from PRA-100 to M-500, 100 devices",0.0000
Palo Alto Networks,PAN-M-500-P-MIG-1K,"Panorama license migration from PRA-1K to M-500, 1K devices",0.0000
Palo Alto Networks,PAN-M-MIG-M100-M500-25,"Panorama license migration from M-100 to M-500, 25 devices or log collector",0.0000
Palo Alto Networks,PAN-M-MIG-M100-M500-100,"Panorama license migration from M-100 to M-500, 100 devices",0.0000
Palo Alto Networks,PAN-M-MIG-M100-M500-1K,"Panorama license migration from M-100 to M-500, 1K devices",0.0000
Palo Alto Networks,PAN-M-500-P-UPG-100,"Panorama license upgrade, 25 to 100 devices for the M-500",15000.0000
Palo Alto Networks,PAN-M-500-P-UPG-1K,"Panorama license upgrade, 100 to 1K devices for the M-500",50000.0000
Palo Alto Networks,PAN-VM-100,Palo Alto Networks VM-100,2700.0000
Palo Alto Networks,PAN-VM-100-ENT,"Palo Alto Networks VM-100 Enterprise, quantity 25",45000.0000
Palo Alto Networks,PAN-VM-200,Palo Alto Networks VM-200,4050.0000
Palo Alto Networks,PAN-VM-200-ENT,"Palo Alto Networks VM-200, quanity 25",67500.0000
Palo Alto Networks,PAN-VM-300,Palo Alto Networks VM-300,5400.0000
Palo Alto Networks,PAN-VM-300-ENT,"Palo Alto Networks VM-300, quantity 25",90000.0000
Palo Alto Networks,PAN-VM-1000-HV,Palo Alto Networks VM-1000-HV,6750.0000
Palo Alto Networks,PAN-VM-1000-HV-ENT,"Palo Alto Networks VM-1000-HV-ENT, quantity 25",112500.0000
Palo Alto Networks,PAN-VM-50-PERP-BASC-PREM-1YR,Palo Alto Networks Perpetual Bundle (Basic) for VM-Series that includes VM-50 and Premium Support,850.0000
Palo Alto Networks,PAN-VM-50-PERP-BASC-PREM-1YR-R,"Palo Alto Networks Perpetual Bundle (Basic) for VM-Series that includes Premium Support, 1 year, Renewal",140.0000
Palo Alto Networks,PAN-VM-50-PERP-BASC-PREM-3YR,"Palo Alto Networks Perpetual Bundle (Basic) for VM-Series that includes VM-50 and Premium Support, 3 year",1050.0000
Palo Alto Networks,PAN-VM-50-PERP-BASC-PREM-3YR-R,"Palo Alto Networks Perpetual Bundle (Basic) for VM-Series that includes Premium Support, 3 year, Renewal",500.0000
Palo Alto Networks,PAN-VM-50-PERP-BASC-PREM-5YR,"Palo Alto Networks Perpetual Bundle (Basic) for VM-Series that includes VM-50 and Premium Support, 5 year",1350.0000
Palo Alto Networks,PAN-VM-50-PERP-BASC-PREM-5YR-R,"Palo Alto Networks Perpetual Bundle (Basic) for VM-Series that includes Premium Support, 5 year, Renewal",720.0000
Palo Alto Networks,PAN-VM-50-PERP-BASC-PREMUSG-1YR,Palo Alto Networks Perpetual Bundle (Basic) for VM-Series that includes VM-50 and US Government Premium Support,850.0000
,,,
Palo Alto Networks,PAN-VM-50-PERP-BASC-PREMUSG-1YR-R,"Palo Alto Networks Perpetual Bundle (Basic) for VM-Series that includes US Government Premium Support, 1 year, Renewal",160.0000
